OLIGOTYPE,PHYLUM,NUM_BEST_HITS,BEST_PCT_ID,BEST_FULL_PCT_ID,HMTs,BODY_SITE,Assign_reads_to,Notes,HOMD_SPECIES,STRAIN_CLONE,HOMD_REFSEQ_ID,GB_NCBI_ID,HOMD_STATUS,
V3V5_148_Firmicutes,Firmicutes,2,100,100,"HMT-151,HMT-151,HMT-151,HMT-442","SUBP,SUPP,SV","50,50",Reads equally close to S. sputigena and S. sp. HMT 442 were assigned half to each taxon.,"Selenomonas sputigena,Selenomonas sputigena,Selenomonas sputigena,Selenomonas sp. HMT 442","Clone: _N001,Strain: ATCC 35185,Clone: _K168,Clone: P4PA_145","151_N011,151Ssput,151_K168,442_1820","GQ422723,AF287793,GQ422722,AY341820","Named,Named,Named,Phylotype",
V3V5_327_Firmicutes,Firmicutes,2,99.6,99.6,"HMT-151,HMT-151,HMT-151,HMT-442","PT,SUBP,SV","50,50",,"Selenomonas sputigena,Selenomonas sputigena,Selenomonas sputigena,Selenomonas sp. HMT 442","Clone: _N001,Strain: ATCC 35185,Clone: _K168,Clone: P4PA_145","151_N011,151Ssput,151_K168,442_1820","GQ422723,AF287793,GQ422722,AY341820","Named,Named,Named,Phylotype",
V3V5_117_Betaproteobacteria,Betaproteobacteria,2,98.729,98.729,"HMT-459,HMT-683","SUBP,SUPP","50,50",Reads equally close to S. muelleri and Kingella sp. HMT 459 were assigned half to each taxon.,"Kingella sp. HMT 459,Simonsiella muelleri","Clone: ID059,Strain: ATCC29453T","459ID059,683_8147","AY349381,AF328147","Phylotype,Named",
V3V5_067_Firmicutes,Firmicutes,2,100,100,"HMT-056,HMT-622","BM,SUBP,SUPP","50,50",Reads equally close to S. gordonii and S. sp. HMT 056 were assigned half to each taxon.,"Streptococcus sp. HMT 056,Streptococcus gordonii","Clone: AY020,Strain: ATCC 10558","056AY020,622_3931","AF385545,AF003931","Unnamed,Named",
V3V5_099_Firmicutes,Firmicutes,2,100,100,"HMT-576,HMT-644",SUBP,"0,100",Reads equally close to S. constellatus and S. intermedius were assigned to S. intermedius.,"Streptococcus constellatus,Streptococcus intermedius","Strain: ATCC27823,Strain: ATCC27335","576_4676,644_4671","AF104676,AF104671","Named,Named",
V3V5_002_Firmicutes,Firmicutes,4,100,100,"HMT-058,HMT-074,HMT-061,HMT-638","BM,HP,KG","25,25,25,25","Reads equally close to S. infantis clade 638, S. oralis subsp. dentisani clade 058, and S. sp. HMT 061 and 074 were assigned one-fourth to each taxon.","Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus infantis clade 638","Clone: BW009,Strain: T4-E3,Clone: DN025,Strain: ATCC 700779","058BW009,074-T4E3,061DN025,638_8315","AY005042,AF385526,AF432131,AB008315","Named,Lost,Lost,Named",
V3V5_200_Firmicutes,Firmicutes,4,99.6,99.6,"HMT-058,HMT-074,HMT-061,HMT-638","BM,HP,KG","25,25,25,25",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus infantis clade 638","Clone: BW009,Strain: T4-E3,Clone: DN025,Strain: ATCC 700779","058BW009,074-T4E3,061DN025,638_8315","AY005042,AF385526,AF432131,AB008315","Named,Lost,Lost,Named",
V3V5_271_Firmicutes,Firmicutes,4,99.6,99.6,"HMT-058,HMT-074,HMT-061,HMT-638","BM,HP,PT","25,25,25,25",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus infantis clade 638","Clone: BW009,Strain: T4-E3,Clone: DN025,Strain: ATCC 700779","058BW009,074-T4E3,061DN025,638_8315","AY005042,AF385526,AF432131,AB008315","Named,Lost,Lost,Named",
V3V5_295_Firmicutes,Firmicutes,14,99.6,99.6,"HMT-058,HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-061,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-638,HMT-398,HMT-398,HMT-948,HMT-728","HP,PT,SV,TD,TH","7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429,7.1429","Reads equally close to S. mitis, S. infantis, S. lactarius, S. oralis, S. peroris, and S. sp. HMT 061, 064, 074, and 423 were divided equally among taxa.","Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus infantis clade 638,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BW009,Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Clone: DN025,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: ATCC 700779,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BW009,058BM035,058_8632,071_8234,071_8631,071_7062,074-T4E3,061DN025,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,638_8315,398_5045,398_7051,948_7425,728_8314","AY005042,AY005043,AY278632,NR_118234,AY278631,AY207062,AF385526,AF432131,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AB008315,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Lost,Lost,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named,Named",
V3V5_001_Firmicutes,Firmicutes,11,100,100,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728","BM,KG","9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_119_Firmicutes,Firmicutes,11,99.6,99.6,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728","BM,KG","9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_310_Firmicutes,Firmicutes,11,99.6,99.6,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728","BM,KG,SUPP","9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_208_Firmicutes,Firmicutes,11,99.203,99.203,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728","BM,KG","9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_259_Firmicutes,Firmicutes,7,99.19,98.8,"HMT-058,HMT-074,HMT-061,HMT-638,HMT-758,HMT-537,HMT-745","BM,HP,KG,PT,TD","20,20,20,20,20,0,0","Reads equally close to S. agalactiae, S. infantis clade 638, S. oralis subsp. dentisani clade 058, S. pyogenes, S. sanguinis, and S. sp. HMT 061 and 074 were assigned one-fifth each to S. infantis clade 638, S. oralis subsp. dentisani clade 058, S. sanguinis, and S. sp. HMT 061 and 074.","Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus infantis clade 638,Streptococcus sanguinis,Streptococcus agalactiae,Streptococcus pyogenes","Clone: BW009,Strain: T4-E3,Clone: DN025,Strain: ATCC 700779,Strain: ATCC 10556,Strain: ATCC 27956,Strain: JCM 5674","058BW009,074-T4E3,061DN025,638_8315,758_3928,537_5927,745_3575","AY005042,AF385526,AF432131,AB008315,AF003928,AF015927,AB023575","Named,Lost,Lost,Named,Named,Named,Named",
V3V5_305_Firmicutes,Firmicutes,11,99.6,99.6,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728","BM,KG","9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_287_Firmicutes,Firmicutes,11,99.2,99.2,"HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-707,HMT-070,HMT-070,HMT-677,HMT-423,HMT-064,HMT-431,HMT-398,HMT-398,HMT-948,HMT-728",SUPP,"9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909",,"Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus lactarius,Streptococcus peroris","Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: SK34,Clone: P2PA_41,Strain: MV1,Strain: GTC848","058BM035,058_8632,071_8234,071_8631,071_7062,707_3932,070-7A,070-12F,677_3929,423_8630,064_8609,431_8633,398_5045,398_7051,948_7425,728_8314","AY005043,AY278632,NR_118234,AY278631,AY207062,AF003932,AY005040,GQ422711,AF003929,AY278630,AY278609,AY278633,AY005045,AY207051,NR_117425,AB008314","Named,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named,Lost,Unnamed,Named,Named,Named,Named,Named",
V3V5_168_Firmicutes,Firmicutes,4,99.6,99.6,"HMT-755,HMT-755,HMT-021,HMT-152,HMT-543","TD,TH","50,0,0,50","Reads equally close to S. salivarius, S. thermophilus, S. vestibularis, and S. anginosus were assigned half to S. salivarius and half to S. anginosus.","Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis,Streptococcus thermophilus,Streptococcus anginosus","Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124,Strain: ATCC 19258,Strain: ATCC 33397","755N000A,755_8839,021_8353,152N096A,543_4678","NR_042776,M58839,AY188353,NR_042778,AF104678","Named,Named,Named,Named,Named",
V3V5_004_Firmicutes,Firmicutes,3,100,100,"HMT-755,HMT-755,HMT-021,HMT-152","HP,PT,TD,TH","100,0,0","Reads equally close to S. salivarius, S. thermophilus, and S. vestibularis were assigned to S. salivarius.","Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis,Streptococcus thermophilus","Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124,Strain: ATCC 19258","755N000A,755_8839,021_8353,152N096A","NR_042776,M58839,AY188353,NR_042778","Named,Named,Named,Named",
V3V5_291_Firmicutes,Firmicutes,3,99.602,99.602,"HMT-755,HMT-755,HMT-021,HMT-152","HP,PT,SV,TD,TH","100,0,0",,"Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis,Streptococcus thermophilus","Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124,Strain: ATCC 19258","755N000A,755_8839,021_8353,152N096A","NR_042776,M58839,AY188353,NR_042778","Named,Named,Named,Named",
V3V5_322_Firmicutes,Firmicutes,3,99.6,99.6,"HMT-755,HMT-755,HMT-021,HMT-152",TD,"100,0,0",,"Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis,Streptococcus thermophilus","Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124,Strain: ATCC 19258","755N000A,755_8839,021_8353,152N096A","NR_042776,M58839,AY188353,NR_042778","Named,Named,Named,Named",
V3V5_212_Firmicutes,Firmicutes,3,99.6,99.6,"HMT-755,HMT-755,HMT-021,HMT-152",TH,"100,0,0",,"Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis,Streptococcus thermophilus","Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124,Strain: ATCC 19258","755N000A,755_8839,021_8353,152N096A","NR_042776,M58839,AY188353,NR_042778","Named,Named,Named,Named",
V3V5_018_Firmicutes,Firmicutes,2,100,100,"HMT-758,HMT-537","SUBP,SUPP","100,0",Reads equally close to S. sanguinis and S. agalactiae were assigned to S. sanguinis.,"Streptococcus sanguinis,Streptococcus agalactiae","Strain: ATCC 10556,Strain: ATCC 27956","758_3928,537_5927","AF003928,AF015927","Named,Named",
V3V5_267_Firmicutes,Firmicutes,2,99.2,99.2,"HMT-758,HMT-537","BM,KG,SUPP","100,0",,"Streptococcus sanguinis,Streptococcus agalactiae","Strain: ATCC 10556,Strain: ATCC 27956","758_3928,537_5927","AF003928,AF015927","Named,Named",
V3V5_009_Firmicutes,Firmicutes,7,100,100,"HMT-411,HMT-411,HMT-411,HMT-411,HMT-057,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-767,HMT-578","HP,PT,SV,TD,TH","14.2857,14.2857,14.2857,14.2857,14.2857,14.2857,14.2857","Reads equally close to S. australis, S. cristatus clade 578, S. parasanguinis clades 411 and 721, S. sinensis, and S. sp. HMT 057 and 066 were divided equally among taxa.","Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus sp. HMT 057,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus sinensis,Streptococcus cristatus clade 578","Clone: C5AKM109,Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110,Clone: BE024,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: HKU4,Strain: NCTC 12479","411_8635,411_9017,411_8629,411_8634,057BE024,721_3933,073_4974,073-T1E5,066FN051,066_1230,767_2856,578_8313","AY278635,EF399017,AY278629,AY278634,AF385550,AF003933,AF184974,AF385525,AF432135,AF481230,AF432856,AB008313","Named,Named,Named,Named,Lost,Named,Named,Named,Unnamed,Unnamed,Named,Named",
V3V5_189_Firmicutes,Firmicutes,7,99.6,99.6,"HMT-411,HMT-411,HMT-411,HMT-411,HMT-057,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-767,HMT-578",TD,"14.2857,14.2857,14.2857,14.2857,14.2857,14.2857,14.2857",,"Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus sp. HMT 057,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus sinensis,Streptococcus cristatus clade 578","Clone: C5AKM109,Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110,Clone: BE024,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: HKU4,Strain: NCTC 12479","411_8635,411_9017,411_8629,411_8634,057BE024,721_3933,073_4974,073-T1E5,066FN051,066_1230,767_2856,578_8313","AY278635,EF399017,AY278629,AY278634,AF385550,AF003933,AF184974,AF385525,AF432135,AF481230,AF432856,AB008313","Named,Named,Named,Named,Lost,Named,Named,Named,Unnamed,Unnamed,Named,Named",
V3V5_159_Firmicutes,Firmicutes,7,99.19,98,"HMT-411,HMT-411,HMT-411,HMT-411,HMT-057,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-767,HMT-578","BM,HP,PT,SV,TD,TH","14.2857,14.2857,14.2857,14.2857,14.2857,14.2857,14.2857",,"Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus sp. HMT 057,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus sinensis,Streptococcus cristatus clade 578","Clone: C5AKM109,Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110,Clone: BE024,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: HKU4,Strain: NCTC 12479","411_8635,411_9017,411_8629,411_8634,057BE024,721_3933,073_4974,073-T1E5,066FN051,066_1230,767_2856,578_8313","AY278635,EF399017,AY278629,AY278634,AF385550,AF003933,AF184974,AF385525,AF432135,AF481230,AF432856,AB008313","Named,Named,Named,Named,Lost,Named,Named,Named,Unnamed,Unnamed,Named,Named",
V3V5_105_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-916,HMT-286","PT,SUBP,SUPP","50,50",Reads equally close to T. sp. HMT 286 and 916 were assigned half to each taxon.,"Tannerella sp. HMT 916,Tannerella sp. HMT 286","Clone: CP6_C2,Clone: BU063","916-Wade,286BU063","KC203065,AY008308","Phylotype,Unnamed",
V3V5_303_Spirochaetes,Spirochaetes,2,99.528,99.528,"HMT-257,HMT-541","SUBP,SV","50,50",Reads equally close to T. amylovorum and T. sp. HMT 257 were assigned half to each taxon.,"Treponema sp. HMT 257,Treponema amylovorum","Strain: D36ER-1,Strain: D62CR12","257_D36,541_3045","AF023044,AF023045","Lost,Named",
V3V5_331_Spirochaetes,Spirochaetes,2,99.057,99.057,"HMT-257,HMT-541","PT,SUBP,SV","50,50",,"Treponema sp. HMT 257,Treponema amylovorum","Strain: D36ER-1,Strain: D62CR12","257_D36,541_3045","AF023044,AF023045","Lost,Named",
V3V5_225_Spirochaetes,Spirochaetes,2,100,100,"HMT-664,HMT-260",SUBP,"50,50",Reads equally close to T. maltophilum and T. sp. HMT 260 were assigned half to each taxon.,"Treponema maltophilum,Treponema sp. HMT 260","Clone: _C021,Clone: _D031","664_C021,260_D031","AF023038,AF023041","Named,Phylotype",
V3V5_112_Spirochaetes,Spirochaetes,5,100,100,"HMT-237,HMT-237,HMT-237,HMT-237,HMT-667,HMT-230,HMT-230,HMT-226,HMT-235",SUBP,"20,20,20,20,20","Reads equally close to T. medium and T. sp. HMT 226, 230, 235, and 237 were assigned one-fifth to each taxon.","Treponema sp. HMT 237,Treponema sp. HMT 237,Treponema sp. HMT 237,Treponema sp. HMT 237,Treponema medium,Treponema sp. HMT 230,Treponema sp. HMT 230,Treponema sp. HMT 226,Treponema sp. HMT 235","Clone: _G057,Clone: AT024,Clone: P4GB_42,Clone: AT039,Clone: _C007,Clone: _D013,Clone: AF068,Clone: _G054,Clone: _D047","237_G057,237AT024,237_1822,237AT039,667_3051,230_D013,230AF068,226_G054,235_D047","AF056337,AF061350,AY341822,AF061349,AF023051,AF023053,AY005081,AF023062,AF023063","Phylotype,Phylotype,Phylotype,Phylotype,Named,Phylotype,Phylotype,Phylotype,Phylotype",
V3V5_089_Spirochaetes,Spirochaetes,3,100,100,"HMT-769,HMT-769,HMT-769,HMT-769,HMT-268,HMT-268,HMT-769,HMT-769,HMT-269",SUBP,"33.3333,33.3333,33.3333","Reads equally close to T. socranskii, T. sp. HMT 268, and T. sp. HMT 269 were assigned one-third to each taxon.","Treponema socranskii,Treponema socranskii,Treponema socranskii,Treponema socranskii,Treponema sp. HMT 268,Treponema sp. HMT 268,Treponema socranskii,Treponema socranskii,Treponema sp. HMT 269","Clone: _G047,Clone: _C044,Strain: ATCC 35534,Strain: D11B-2,Clone: IL034,Strain: D120CR-1,Strain: ATCC 35536,Strain: ATCC 35535,Strain: D15A-4","769_G047,769_C044,769_3305,769_3308,268IL034,268_D120,769_3306,769_3307,269_D15","AF056343,AF056344,AF033305,AF033308,AY349418,AF033303,AF033306,AF033307,AY005083","Named,Named,Named,Named,Lost,Lost,Named,Named,Lost",
